field0,Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts_s,Flow_Pkts_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts_s,Bwd_Pkts_s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down_Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts_b_Avg,Fwd_Pkts_b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts_b_Avg,Bwd_Pkts_b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
5364095,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 08:28:14,119682758,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6099458369767848,1662260.5277777773,2314137.1371463705,18074245.0,337499.0,119682758.0,1662260.5277777773,2314137.1371463705,18074245.0,337499.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6099458369767848,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,73,0,0,0,-1,-1,0,0,45596602.5,19195011.080538936,59169525.0,32023680.0,12282290.5,8191060.606547877,18074245.0,6490336.0,Benign
2935711,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 04:55:55,117353443,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879674105513888,1725785.9264705882,2310471.3516144846,15890916.0,35343.0,117353443.0,1725785.9264705882,2310471.3516144846,15890916.0,35343.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5879674105513888,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,69,0,0,0,-1,-1,0,0,37735742.0,38385499.50610539,64878389.0,10593095.0,10591149.333333334,4613248.796077916,15890916.0,7476057.0,Benign
5605577,172.31.69.12-23.218.62.30-0-0-0,172.31.69.12,0,23.218.62.30,0,0,20/02/2018 08:53:24,115450214,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19055833019070886,5497629.238095237,165881.05859919774,5905167.0,5050341.0,115450214.0,5497629.238095237,165881.05859919774,5905167.0,5050341.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.19055833019070886,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,5497629.238095237,165881.05859919774,5905167.0,5050341.0,Benign
4585282,172.31.67.126-52.14.9.34-0-0-0,172.31.67.126,0,52.14.9.34,0,0,20/02/2018 04:53:32,1148900,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0927844024719295,191483.33333333328,298956.8774720974,678829.0,271.0,1148900.0,191483.33333333328,298956.8774720974,678829.0,271.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6.0927844024719295,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
5234057,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 11:18:12,119998634,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333394045135548,1904740.2222222213,3056887.4961612057,17101217.0,559035.0,119998634.0,1904740.2222222213,3056887.4961612057,17101217.0,559035.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5333394045135548,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,64,0,0,0,-1,-1,0,0,19077547.0,12617800.079682987,27999679.0,10155415.0,14808067.0,2383026.0505237873,17101217.0,12344332.0,Benign
3058008,172.31.65.59-23.218.62.30-0-0-0,172.31.65.59,0,23.218.62.30,0,0,20/02/2018 10:43:52,119231659,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10903144440856938,9935971.583333334,13886224.702192847,54025610.0,5527615.0,119231659.0,9935971.583333334,13886224.702192847,54025610.0,5527615.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.10903144440856938,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,9935971.583333334,13886224.702192847,54025610.0,5527615.0,Benign
5209436,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 11:18:10,119991773,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000411378203404,1690024.971830986,2775410.7540766243,21562651.0,339440.0,119991773.0,1690024.971830986,2775410.7540766243,21562651.0,339440.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6000411378203404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,72,0,0,0,-1,-1,0,0,27333229.333333336,34010902.779020354,66469631.0,4936945.0,12664028.333333336,7737428.213056928,21562651.0,7522849.0,Benign
5331945,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 05:16:16,118890850,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4794313439596066,2123050.8928571427,4275476.46535592,27042008.0,514880.0,118890850.0,2123050.8928571427,4275476.46535592,27042008.0,514880.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4794313439596066,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,57,0,0,0,-1,-1,0,0,8133871.0,2659684.5766973947,10014552.0,6253190.0,17169753.0,11067884.27055727,27042008.0,5204970.0,Benign
5836375,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 11:12:47,119996965,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666784697429639,2181763.0,3538477.5081677064,21233979.0,488177.0,119996965.0,2181763.0,3538477.5081677064,21233979.0,488177.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4666784697429639,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,56,0,0,0,-1,-1,0,0,6859009.5,3027513.746096044,8999785.0,4718234.0,15393967.0,5223835.6294799335,21233979.0,11166615.0,Benign
3712739,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 01:17:31,117161861,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5633232473150969,1802490.1692307696,2739558.5890109395,18828112.0,408946.0,117161861.0,1802490.1692307696,2739558.5890109395,18828112.0,408946.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5633232473150969,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,66,0,0,0,-1,-1,0,0,26455316.333333336,32596415.646636706,63929631.0,4671338.0,12598637.333333336,5446671.593099893,18828112.0,8734590.0,Benign
